Transcript	Gene
uc010scp.1	ACAD8
uc010scq.1	ACAD8
uc010scr.1	ACAD8
uc003ela.3	ACAD9
uc003elb.2	ACAD9
uc003elc.1	ACAD9
uc003eld.1	ACAD9
uc003ele.2	ACAD9
uc010hsw.1	ACAD9
uc011bks.1	ACAD9
uc002vdz.3	ACADL
uc010zjg.1	ACADL
uc001dgw.3	ACADM
uc001dgx.3	ACADM
uc009wbp.2	ACADM
uc009wbr.2	ACADM
uc009wbs.1	ACADM
uc010orc.1	ACADM
uc010ord.1	ACADM
uc010ore.1	ACADM
uc010orf.1	ACADM
uc010org.1	ACADM
uc001lhb.2	ACADSB
uc010qub.1	ACADSB
uc001tza.3	ACADS
uc001tzb.3	ACADS
uc010szl.1	ACADS
uc002gev.2	ACADVL
uc002gew.2	ACADVL
uc002gex.2	ACADVL
uc010vtp.1	ACADVL
uc010vtq.1	ACADVL
uc002bmx.2	ACAN
uc002bna.2	ACAN
uc010upo.1	ACAN
uc010upp.1	ACAN
uc002ggd.2	ACAP1
uc003fun.3	ACAP2
uc003fuo.2	ACAP2
uc001ady.2	ACAP3
uc001aea.2	ACAP3
uc001aeb.2	ACAP3
uc001aec.1	ACAP3
uc001pjw.1	ACAT1
uc001pjx.2	ACAT1
uc001pjy.2	ACAT1
uc010kjy.2	ACAT2
uc011efw.1	ACAT2
uc001hpy.2	ACBD3
uc002iic.2	ACBD4
uc002iid.2	ACBD4
uc002iie.2	ACBD4
uc002iif.2	ACBD4
uc010dae.2	ACBD4
uc010wjj.1	ACBD4
uc001ito.2	ACBD5
uc001itp.2	ACBD5
uc001itq.2	ACBD5
uc001itr.1	ACBD5
uc010qdm.1	ACBD5
uc010qdn.1	ACBD5
uc010qdo.1	ACBD5
uc010qdp.1	ACBD5
uc001gog.2	ACBD6
uc001inv.2	ACBD7
uc010qby.1	ACBD7
uc002hht.2	ASIC2
uc002hhu.2	ASIC2
uc001rvv.2	ASIC1
uc001rvw.2	ASIC1
uc009zln.2	ASIC1
uc009zlo.2	ASIC1
uc003win.2	ASIC3
uc003wio.2	ASIC3
uc003wip.2	ASIC3
uc003wiq.2	ASIC3
uc002vly.1	ASIC4
uc002vlz.2	ASIC4
uc002vma.2	ASIC4
uc002vmb.2	ASIC4
uc010fwi.1	ASIC4
uc010fwj.1	ASIC4
uc003ipe.1	ASIC5
uc001mxw.1	ACCSL
uc009ykr.2	ACCSL
uc001mxx.2	ACCS
uc009yks.1	ACCS
uc010rfm.1	ACCS
uc010rfn.1	ACCS
uc002etp.3	ACD
uc002etq.3	ACD
uc002etr.3	ACD
uc010vjt.1	ACD
uc004cxa.1	ACE2
uc004cxb.2	ACE2
uc002mel.2	ACER1
uc003znx.1	ACER2
uc003zny.1	ACER2
uc003znz.1	ACER2
uc001oxu.2	ACER3
uc009yul.1	ACER3
uc009yum.1	ACER3
uc009yun.1	ACER3
uc009yuo.1	ACER3
uc010rsg.1	ACER3
uc010rsh.1	ACER3
uc010rsi.1	ACER3
uc010rsj.1	ACER3
uc002jau.1	ACE
uc002jav.1	ACE
uc002jaw.1	ACE
uc010ddu.1	ACE
uc010ddv.1	ACE
uc010wph.1	ACE
uc010wpi.1	ACE
uc010wpj.1	ACE
uc010wpk.1	ACE
uc003uxd.2	ACHE
uc003uxe.2	ACHE
uc003uxf.2	ACHE
uc003uxg.2	ACHE
uc003uxh.2	ACHE
uc003uxi.2	ACHE
uc003uxj.1	ACHE
uc001wio.3	ACIN1
uc001wip.3	ACIN1
uc001wiq.3	ACIN1
uc001wir.3	ACIN1
uc001wis.3	ACIN1
uc001wit.3	ACIN1
uc010akg.2	ACIN1
uc010tnj.1	ACIN1
uc002hyg.2	ACLY
uc002hyh.2	ACLY
uc002hyi.2	ACLY
uc010wfx.1	ACLY
uc010wfy.1	ACLY
uc002ttz.2	ACMSD
uc002tua.2	ACMSD
uc003uoo.3	SDHAF3
uc003zqw.3	ACO1
uc003zqx.3	ACO1
uc003zqy.3	ACO1
uc010mjh.1	ACO1
uc003bac.2	ACO2
uc003bad.2	ACO2
uc001cxj.1	ACOT11
uc001cxk.2	ACOT11
uc001cxl.1	ACOT11
uc001cxm.1	ACOT11
uc003khl.3	ACOT12
uc003khm.2	ACOT12
uc003nek.2	ACOT13
uc010jpv.2	ACOT13
uc001xol.1	ACOT1
uc010tuc.1	ACOT1
uc001xom.2	ACOT2
uc001xon.3	ACOT2
uc001xoo.2	ACOT4
uc001xop.2	ACOT6
uc001amq.2	ACOT7
uc001amr.2	ACOT7
uc001ams.2	ACOT7
uc001amt.2	ACOT7
uc001amu.2	ACOT7
uc001amv.2	ACOT7
uc010nzq.1	ACOT7
uc002xqa.1	ACOT8
uc002xqc.1	ACOT8
uc010zxe.1	ACOT8
uc010zxf.1	ACOT8
uc004dan.2	ACOT9
uc004dao.2	ACOT9
uc004dap.2	ACOT9
